Key	ENGLISH	FRANÇAIS	ESPAÑOL	DEUTSCH	BAHASA INDONESIA	ITALIANO	日本語	한국어	BAHASA MELAYU	NEDERLANDS	PORTUGUÊS	ภาษาไทย	FILIPINO	TÜRKÇE	中文
-dark-team-name | dark-team-name-caps	Black	Noir	Negro	Schwarz	Hitam	Nero	黒	검정	Hitam	Donker	Preta	ทีมดำ	Itim	Siyah	黑队
-light-team-name | light-team-name-caps	White	Blanc	Blanco	Weiß	Putih	Bianco	白	흰	Putih	Licht	Branca	ทีมขาว	Puti	Beyaz	白队
done	DONE	TERMINÉ	HECHO	FERTIG	SELESAI	FATTO	完了	완료	SELESAI	KLAAR	CONCLUÍDO	เสร็จสิ้น	TAPOS	TAMAM	完成
restart-to-apply	RESTART TO APPLY	REDÉMARRER POUR APPLIQUER	REINICIAR PARA APLICAR	NEU STARTEN ZUM ANWENDEN	MULAI ULANG UNTUK MENERAPKAN	RIAVVIA PER APPLICARE	再起動して適用	재시작하여 적용	MULAKAN SEMULA UNTUK GUNA	OPNIEUW STARTEN OM TOE TE PASSEN	REINICIAR PARA APLICAR	รีสตาร์ทเพื่อใช้งาน	I-RESTART UPANG ILAPAT	UYGULAMAK İÇİN YENİDEN BAŞLAT	重启以应用
cancel	CANCEL	ANNULER	CANCELAR	ABBRECHEN	BATAL	ANNULLA	キャンセル	취소	BATAL	ANNULEREN	CANCELAR	ยกเลิก	KANSELAHIN	İPTAL	取消
delete	DELETE	SUPPRIMER	ELIMINAR	LÖSCHEN	HAPUS	ELIMINA	削除	삭제	PADAM	VERWIJDEREN	ELIMINAR	ลบ	BURAHIN	SİL	删除
back	BACK	RETOUR	ATRÁS	ZURÜCK	KEMBALI	INDIETRO	戻る	뒤로	KEMBALI	TERUG	VOLTAR	กลับ	BUMALIK	GERİ	返回
apply	APPLY	APPLIQUER	APLICAR	ANWENDEN	TERAPKAN	APPLICA	適用	적용	GUNA	TOEPASSEN	APLICAR	ใช้	ILAPAT	UYGULA	应用
user-options	USER OPTIONS	OPTIONS UTILISATEUR	OPCIONES DE USUARIO	BENUTZEROPTIONEN	OPSI PENGGUNA	OPZIONI UTENTE	ユーザー設定	사용자 옵션	PILIHAN PENGGUNA	GEBRUIKERSOPTIES	OPÇÕES DO UTILIZADOR	ตัวเลือกผู้ใช้	MGA OPSYON NG USER	KULLANICI SEÇENEKLERİ	用户选项
new	NEW	NOUVEAU	NUEVO	NEU	BARU	NUOVO	新規	새로	BARU	NIEUW	NOVO	ใหม่	BAGO	YENİ	新建
total-dismissal	TD	TD	T	PV	KELUAR	ES.DEF.	退場	퇴장	PT	DEF	ED	ไล่	TD	İHR	取消
penalty-kind-thirty-seconds	30s	30s	30s	30s	30dtk	30s	30秒	30초	30s	30s	30s	30วิ	30s	30sn	30秒
penalty-kind-one-minute	1m	1m	1m	1m	1mnt	1m	1分	1분	1m	1m	1min	1น.	1m	1dk	1分
penalty-kind-two-minutes	2m	2m	2m	2m	2mnt	2m	2分	2분	2m	2m	2min	2น.	2m	2dk	2分
penalty-kind-four-minutes	4m	4m	4m	4m	4mnt	4m	4分	4분	4m	4m	4min	4น.	4m	4dk	4分
penalty-kind-five-minutes	5m	5m	5m	5m	5mnt	5m	5分	5분	5m	5m	5min	5น.	5m	5dk	5分
timeout-length	TEAM TIMEOUT LENGTH	DURÉE DU TEMPS MORT	DURACIÓN DEL TIEMPO DE ESPERA	AUSZEIT DAUER	TIME-OUT TIM DURASI	TIME-OUT DI SQUADRA	チームタイムアウト 時間	팀 타임아웃 시간	MASA REHAT PASUKAN	TEAM TIME-OUT DUUR	DURAÇÃO DO TEMPO DE EQUIPA	ระยะเวลา พักทีม	TIMEOUT NG KOPONAN	TAKIM MOLASI SÜRESİ	队伍暂停 时长
team-warning	TEAM WARNING	AVERT. D'ÉQUIPE	AVISO DE EQUIPO	MANNSCHAFT VERWARNUNG	PERINGATAN TIM	AMMONIZIONE DI SQUADRA	チーム 警告	팀 경고	AMARAN PASUKAN	TEAM- WAARSCHUWING	AVISO DE EQUIPA	การเตือน ทีม	BABALA NG KOPONAN	TAKIM UYARISI	队伍 警告
team-warning-line-1	TEAM	AVERT.	AVISO	MANNSCHAFT	PERINGATAN	AMMONIZIONE	チーム	팀	AMARAN	TEAM-	AVISO DE	การเตือน	BABALA NG	TAKIM	队伍
team-warning-line-2	WARNING	D'ÉQUIPE	DE EQUIPO	VERWARNUNG	TIM	DI SQUADRA	警告	경고	PASUKAN	WAARSCHUWING	EQUIPA	ทีม	KOPONAN	UYARISI	警告
none-selected	None Selected	Aucun Sélectionné	Ninguno seleccionado	Nichts ausgewählt	Tidak Ada Dipilih	Nessuno Selezionato	未選択	선택 없음	Tiada Dipilih	Niets Geselecteerd	Nenhum Selecionado	ไม่ได้เลือก	Wala na Pinili	Seçim Yok	未选择
loading	Loading...	Chargement...	Cargando...	Wird geladen...	Memuat...	Caricamento...	読込中...	불러오는 중...	Memuatkan...	Laden...	A carregar...	กำลังโหลด...	Naglo-load...	Yükleniyor...	加载中...
game-select	Game:	MATCH:	Juego:	Spiel:	Pertandingan:	Partita:	試合:	경기:	Perlawanan:	Wedstrijd:	Jogo:	เกม:	Laro:	Oyun:	比赛：
game-options	GAME OPTIONS	OPTIONS DU MATCH	OPCIONES DE JUEGO	SPIELOPTIONEN	OPSI PERTANDINGAN	OPZIONI PARTITA	試合オプション	경기 옵션	PILIHAN PERLAWANAN	WEDSTRIJDOPTIES	OPÇÕES DE JOGO	ตัวเลือกเกม	MGA OPSYON SA LARO	OYUN SEÇENEKLERİ	比赛选项
app-options	APP OPTIONS	OPTIONS DE L'APPLICATION	OPCIONES DE APP	APP-OPTIONEN	OPSI APLIKASI	OPZIONI APP	アプリオプション	앱 옵션	PILIHAN APLIKASI	APP-OPTIES	OPÇÕES DA APP	ตัวเลือกแอป	MGA OPSYON SA APP	UYGULAMA SEÇENEKLERİ	应用选项
display-options	DISPLAY OPTIONS	OPTIONS D'AFFICHAGE	OPCIONES DE PANTALLA	ANZEIGEOPTIONEN	OPSI TAMPILAN	OPZIONI DISPLAY	表示オプション	화면 옵션	PILIHAN PAPARAN	WEERGAVEOPTIES	OPÇÕES DE ECRÃ	ตัวเลือกการแสดงผล	MGA OPSYON SA DISPLAY	GÖRÜNTÜ SEÇENEKLERİ	显示选项
